变量名,类型/位号,读位置,写位置,用途推断,相关轴号,风险说明
MFLAGS(iTmpIndex).#HOME,special bit,1st.prg:9846,,状态标志/运行状态,iTmpIndex,高
MODBUSADD_CHARGEVOLUME_SP,local int,1st.prg:6095;1st.prg:6470;1st.prg:6476;1st.prg:6543,1st.prg:6196,设定值/目标位置,,高
MODBUSADD_FEED_FLOW_MODE,local int,1st.prg:6100;1st.prg:6278,1st.prg:6201,通讯/Modbus,,中
MODBUSADD_FEED_RDY,local int,1st.prg:6102;1st.prg:6292,1st.prg:6203,通讯/Modbus,,中
MODBUSADD_IN_REMOTE_MODE,local int,1st.prg:6104;1st.prg:6306,1st.prg:6205,通讯/Modbus,,中
MODBUSADD_LC_BYPASSMODE_CMD,local int,1st.prg:6091;1st.prg:6413;1st.prg:6419;1st.prg:6551,1st.prg:6192,通讯/Modbus,,中
MODBUSADD_LC_MFC_SP,local int,1st.prg:6090;1st.prg:6398;1st.prg:6405;1st.prg:6521,1st.prg:6191,设定值/目标位置,,高
MODBUSADD_MEIDENSHA_ALARMS,local int,1st.prg:6105;1st.prg:6320,1st.prg:6207,通讯/Modbus,,中
MODBUSADD_OFFSET,local int,1st.prg:6089;1st.prg:6191;1st.prg:6192;1st.prg:6193;1st.prg:6194;1st.prg:6195;1st.prg:6196;1st.prg:6197;1st.prg:6198;1st.prg:6200;1st.prg:6201;1st.prg:6202;1st.prg:6203;1st.prg:6204;1st.prg:6205;1st.prg:6207,1st.prg:6190,通讯/Modbus,,中
MODBUSADD_OXYGEN_BYPASSMODE_CMD,local int,1st.prg:6092;1st.prg:6428;1st.prg:6434;1st.prg:6558,1st.prg:6193,通讯/Modbus,,中
MODBUSADD_OZONECHAMBERPRESSURE_SP,local int,1st.prg:6094;1st.prg:6456;1st.prg:6462;1st.prg:6536,1st.prg:6195,压力控制相关,,高
MODBUSADD_OZONEFEED_CMD,local int,1st.prg:6097;1st.prg:6484;1st.prg:6490;1st.prg:6572,1st.prg:6198,通讯/Modbus,,中
MODBUSADD_OZONEPRESSURE_SP,local int,1st.prg:6093;1st.prg:6442;1st.prg:6448;1st.prg:6529,1st.prg:6194,压力控制相关,,高
MODBUSADD_OZONE_RDY,local int,1st.prg:6101;1st.prg:6285,1st.prg:6202,通讯/Modbus,,中
MODBUSADD_POGON_CMD,local int,1st.prg:6096;1st.prg:6376;1st.prg:6382;1st.prg:6565,1st.prg:6197,通讯/Modbus,,中
MODBUSADD_POG_NO_FLT,local int,1st.prg:6103;1st.prg:6299,1st.prg:6204,通讯/Modbus,,中
MODBUSADD_POG_STATUS1,local int,1st.prg:6099;1st.prg:6258,1st.prg:6200,通讯/Modbus,1,中
MST(0).#ENABLED,special bit,1st.prg:10537,,状态标志/运行状态,0,高
MST(LLELEAXIS).#ENABLED,special bit,1st.prg:10180;1st.prg:10222,,状态标志/运行状态,LLELEAXIS,高
MST(LLELEAXIS2).#ENABLED,special bit,1st.prg:10231;1st.prg:10273,,状态标志/运行状态,LLELEAXIS2,高
MST(ROBOTAXISNUMH).#ENABLED,special bit,1st.prg:8350;1st.prg:8448,,状态标志/运行状态,ROBOTAXISNUMH,高
MST(ROBOTAXISNUML).#ENABLED,special bit,1st.prg:8350;1st.prg:8448;1st.prg:10537,,状态标志/运行状态,ROBOTAXISNUML,高
MST(iAxisNum).#ENABLED,special bit,1st.prg:11037,,状态标志/运行状态,iAxisNum,高
MZ_CARAxisNum,global int,1st.prg:6883;1st.prg:7103;1st.prg:7105;1st.prg:7107;1st.prg:7109;1st.prg:7111;1st.prg:7113;1st.prg:7115;1st.prg:7117;1st.prg:7119;1st.prg:7121;1st.prg:7142;1st.prg:7143;1st.prg:7144;1st.prg:7145;1st.prg:8874;1st.prg:9349;1st.prg:9394;1st.prg:10842,1st.prg:9079;1st.prg:9085,通用控制变量,,中
MZ_LLAxisNum,global int,1st.prg:6883;1st.prg:7045;1st.prg:7046;1st.prg:7047;1st.prg:7049;1st.prg:7050;1st.prg:7051;1st.prg:7053;1st.prg:7129;1st.prg:7130;1st.prg:7131;1st.prg:7132;1st.prg:8874;1st.prg:9349;1st.prg:9394;1st.prg:10180;1st.prg:10222;1st.prg:10842,1st.prg:9080;1st.prg:9088,通用控制变量,,中
MZ_STAxisNum,global int,1st.prg:6883;1st.prg:7058;1st.prg:7059;1st.prg:7060;1st.prg:7061;1st.prg:7062;1st.prg:7063;1st.prg:7065;1st.prg:7136;1st.prg:7137;1st.prg:7138;1st.prg:7139;1st.prg:8874;1st.prg:9349;1st.prg:9394;1st.prg:10842,1st.prg:9081;1st.prg:9091,通用控制变量,,中
MaxSP0,global real tag 1073,1st.prg:11517,,设定值/目标位置,0,高
MaxSP1,global real tag 1273,1st.prg:11599,,设定值/目标位置,1,高
MaxSP2,global real tag 1173,1st.prg:11558,,设定值/目标位置,2,高
MaxSP3,global real tag 1373,1st.prg:11639,,设定值/目标位置,3,高
MaxSP4,global real tag 1473,1st.prg:11679,,设定值/目标位置,4,高
MaxSP5,global real tag 1673,1st.prg:11757,,设定值/目标位置,5,高
MaxSP6,global real tag 1573,1st.prg:11718,,设定值/目标位置,6,高
MaxSP7,global real tag 1773,1st.prg:11796,,设定值/目标位置,7,高
MaxTorq0,global real tag 1088,1st.prg:11525,1st.prg:8620;1st.prg:9549,通用控制变量,0,中
MaxTorq1,global real tag 1288,1st.prg:11607,1st.prg:8729;1st.prg:9583,通用控制变量,1,中
MaxTorq2,global real tag 1188,1st.prg:11566,1st.prg:8753;1st.prg:9597,通用控制变量,2,中
MaxTorq3,global real tag 1388,1st.prg:11647,1st.prg:9612,通用控制变量,3,中
MaxTorq4,global real tag 1488,1st.prg:11687,1st.prg:9627,通用控制变量,4,中
MaxTorq5,global real tag 1688,1st.prg:11765,1st.prg:9643,通用控制变量,5,中
MaxTorq6,global real tag 1588,1st.prg:11726,1st.prg:9660,通用控制变量,6,中
MaxTorq7,global real tag 1788,1st.prg:11804,1st.prg:9677,通用控制变量,7,中
MaxVel0,global real tag 1075,1st.prg:11519,1st.prg:8614;1st.prg:9543,运动参数/速度曲线,0,高
MaxVel1,global real tag 1275,1st.prg:11601,1st.prg:8723;1st.prg:9577,运动参数/速度曲线,1,高
MaxVel2,global real tag 1175,1st.prg:11560,1st.prg:8747;1st.prg:9591,运动参数/速度曲线,2,高
MaxVel3,global real tag 1375,1st.prg:11641,1st.prg:9606,运动参数/速度曲线,3,高
MaxVel4,global real tag 1475,1st.prg:11681,1st.prg:9621,运动参数/速度曲线,4,高
MaxVel5,global real tag 1675,1st.prg:11759,1st.prg:9637,运动参数/速度曲线,5,高
MaxVel6,global real tag 1575,1st.prg:11720,1st.prg:9654,运动参数/速度曲线,6,高
MaxVel7,global real tag 1775,1st.prg:11798,1st.prg:9671,运动参数/速度曲线,7,高
Measured,unknown unknown,1st.prg:7669;1st.prg:7691;1st.prg:7697;1st.prg:7703;1st.prg:7718,1st.prg:7645;1st.prg:7646;1st.prg:7647;1st.prg:7648;1st.prg:7649;1st.prg:7650;1st.prg:7651;1st.prg:7652,测量值/工作设定,,中
Measured0,global real tag 1050,1st.prg:6727;1st.prg:6729;1st.prg:6731;1st.prg:6733;1st.prg:6760;1st.prg:6761;1st.prg:6762;1st.prg:6763;1st.prg:6764;1st.prg:6769;1st.prg:6770;1st.prg:6771;1st.prg:6772;1st.prg:7217;1st.prg:7645;1st.prg:8304;1st.prg:8622;1st.prg:8629;1st.prg:8630;1st.prg:9551;1st.prg:9694;1st.prg:11510,1st.prg:8612;1st.prg:9541,测量值/工作设定,0,中
Measured1,global real tag 1250,1st.prg:7218;1st.prg:7646;1st.prg:8731;1st.prg:8732;1st.prg:8739;1st.prg:9572;1st.prg:9707;1st.prg:11592,1st.prg:8721;1st.prg:9567;1st.prg:9569,测量值/工作设定,1,中
Measured2,global real tag 1150,1st.prg:7219;1st.prg:7647;1st.prg:8755;1st.prg:8756;1st.prg:8763;1st.prg:9599;1st.prg:9720;1st.prg:11551,1st.prg:8745;1st.prg:9589,测量值/工作设定,2,中
Measured3,global real tag 1350,1st.prg:7220;1st.prg:7648;1st.prg:9614;1st.prg:9733;1st.prg:11632,1st.prg:9604,测量值/工作设定,3,中
Measured4,global real tag 1450,1st.prg:7221;1st.prg:7649;1st.prg:9629;1st.prg:11672,1st.prg:9619,测量值/工作设定,4,中
Measured5,global real tag 1650,1st.prg:7222;1st.prg:7650;1st.prg:9645;1st.prg:11750,1st.prg:9635,测量值/工作设定,5,中
Measured6,global real tag 1550,1st.prg:7223;1st.prg:7651;1st.prg:9662;1st.prg:11711,1st.prg:9652,测量值/工作设定,6,中
Measured7,global real tag 1750,1st.prg:7224;1st.prg:7652;1st.prg:9679;1st.prg:11789,1st.prg:9669,测量值/工作设定,7,中
MinSP0,global real tag 1074,1st.prg:11518,,设定值/目标位置,0,高
MinSP1,global real tag 1274,1st.prg:11600,,设定值/目标位置,1,高
MinSP2,global real tag 1174,1st.prg:11559,,设定值/目标位置,2,高
MinSP3,global real tag 1374,1st.prg:11640,,设定值/目标位置,3,高
MinSP4,global real tag 1474,1st.prg:11680,,设定值/目标位置,4,高
MinSP5,global real tag 1674,1st.prg:11758,,设定值/目标位置,5,高
MinSP6,global real tag 1574,1st.prg:11719,,设定值/目标位置,6,高
MinSP7,global real tag 1774,1st.prg:11797,,设定值/目标位置,7,高
MinVel0,global real tag 1076,1st.prg:11520,1st.prg:8615;1st.prg:9544,运动参数/速度曲线,0,高
MinVel1,global real tag 1276,1st.prg:11602,1st.prg:8724;1st.prg:9578,运动参数/速度曲线,1,高
MinVel2,global real tag 1176,1st.prg:11561,1st.prg:8748;1st.prg:9592,运动参数/速度曲线,2,高
MinVel3,global real tag 1376,1st.prg:11642,1st.prg:9607,运动参数/速度曲线,3,高
MinVel4,global real tag 1476,1st.prg:11682,1st.prg:9622,运动参数/速度曲线,4,高
MinVel5,global real tag 1676,1st.prg:11760,1st.prg:9638,运动参数/速度曲线,5,高
MinVel6,global real tag 1576,1st.prg:11721,1st.prg:9655,运动参数/速度曲线,6,高
MinVel7,global real tag 1776,1st.prg:11799,1st.prg:9672,运动参数/速度曲线,7,高
MoveCommanded,unknown unknown,1st.prg:11108,1st.prg:10895;1st.prg:10896;1st.prg:10897;1st.prg:10898;1st.prg:10899;1st.prg:10900;1st.prg:10901;1st.prg:10902;1st.prg:11057;1st.prg:11065;1st.prg:11092;1st.prg:11101;1st.prg:11117,通用控制变量,,中
NO_POGB_FLT_TO_CLOSE_ESV,global int,1st.prg:6138;1st.prg:6360;1st.prg:7364;1st.prg:7565,1st.prg:6358,通用控制变量,,中
NewCmd,local real,1st.prg:7832,1st.prg:7885;1st.prg:7886;1st.prg:7887;1st.prg:7888;1st.prg:7899;1st.prg:7914;1st.prg:7930;1st.prg:7945,局部计算/临时变量,,低
NumAnalogCAR,local int,1st.prg:10570;1st.prg:10585,1st.prg:10582;1st.prg:10586,局部计算/临时变量,,低
O3CollisionValues,global real,1st.prg:6722;1st.prg:8979;1st.prg:8993;1st.prg:8994;1st.prg:8995;1st.prg:8996;1st.prg:8997;1st.prg:8998;1st.prg:8999;1st.prg:9000;1st.prg:9020;1st.prg:11461,1st.prg:6677;1st.prg:6682;1st.prg:6688;1st.prg:6693;1st.prg:6699;1st.prg:6704;1st.prg:6710;1st.prg:6715,通用控制变量,,中
O3_RunValve1,local int,1st.prg:6636,,局部计算/临时变量,1,低
O3_RunValve2,local int,1st.prg:6636,,局部计算/临时变量,2,低
O3_RunValve3,local int,1st.prg:6636,,局部计算/临时变量,3,低
O3_RunValve4,local int,1st.prg:6636,,局部计算/临时变量,4,低
OUT(0).0,special bit,1st.prg:7784;1st.prg:7785;1st.prg:7791;1st.prg:7792,1st.prg:7785;1st.prg:7792,IO 信号,0,中
OUT(0).1,special bit,1st.prg:7798;1st.prg:7799;1st.prg:7805;1st.prg:7806,1st.prg:7799;1st.prg:7806,IO 信号,1,中
OUT(0).2,special bit,1st.prg:7812;1st.prg:7813;1st.prg:7820;1st.prg:7821,1st.prg:7813;1st.prg:7821,IO 信号,2,中
OUTP0,global real tag 1004,1st.prg:11492,1st.prg:8622;1st.prg:8624;1st.prg:9551;1st.prg:9553,通用控制变量,0,中
OUTP1,global real tag 1204,1st.prg:9567;1st.prg:11574,1st.prg:8739;1st.prg:8741;1st.prg:9561;1st.prg:9564;1st.prg:9572;1st.prg:9574,通用控制变量,1,中
OUTP2,global real tag 1104,1st.prg:11533,1st.prg:8763;1st.prg:8765;1st.prg:9599;1st.prg:9601,通用控制变量,2,中
OUTP3,global real tag 1304,1st.prg:11615,1st.prg:9614;1st.prg:9616,通用控制变量,3,中
OUTP4,global real tag 1404,1st.prg:11654,1st.prg:9629;1st.prg:9631,通用控制变量,4,中
OUTP5,global real tag 1604,1st.prg:11733,1st.prg:9645;1st.prg:9647,通用控制变量,5,中
OUTP6,global real tag 1504,1st.prg:11694,1st.prg:9662;1st.prg:9664,通用控制变量,6,中
OUTP7,global real tag 1704,1st.prg:11772,1st.prg:9679;1st.prg:9681,通用控制变量,7,中
OXYGEN_BYPASS_CMD,global int,1st.prg:6124;1st.prg:6433;1st.prg:6435;1st.prg:6615,1st.prg:6662,通用控制变量,,中
OXYGEN_BYPASS_CMD_RB,local int,1st.prg:6110;1st.prg:6583,1st.prg:6562,局部计算/临时变量,,低
OZONECHAMBERPRESSURE_SP,global int,1st.prg:6126;1st.prg:6461;1st.prg:6463;1st.prg:6614,1st.prg:6654,压力控制相关,,高
OZONEFEED_CMD,global int,1st.prg:6129;1st.prg:6491;1st.prg:6615,1st.prg:6660,通用控制变量,,中
OZONEFEED_CMD_RB,local int,1st.prg:6108,1st.prg:6576,局部计算/临时变量,,低
OZONEPRESSURE_SP,global int,1st.prg:6125;1st.prg:6447;1st.prg:6449;1st.prg:6614,1st.prg:6653,压力控制相关,,高
OZONE_RDY,global int,1st.prg:6133;1st.prg:6617,1st.prg:6289,通用控制变量,,中
OkToTogglePOG,local int,1st.prg:6117,,局部计算/临时变量,,低
OldRR,global real,1st.prg:10848;1st.prg:10954;1st.prg:11037,1st.prg:10915;1st.prg:11056;1st.prg:11064;1st.prg:11091;1st.prg:11100,通用控制变量,,中
OldSP,global real,1st.prg:21;1st.prg:719;1st.prg:1938;1st.prg:2631;1st.prg:3324;1st.prg:4017;1st.prg:4710;1st.prg:5403;1st.prg:6643;1st.prg:6903;1st.prg:8218;1st.prg:8645;1st.prg:8734;1st.prg:8758;1st.prg:8845;1st.prg:9505;1st.prg:10848;1st.prg:10955;1st.prg:10956;1st.prg:11007;1st.prg:11037;1st.prg:11046;1st.prg:11173,1st.prg:257;1st.prg:340;1st.prg:436;1st.prg:477;1st.prg:558;1st.prg:677;1st.prg:864;1st.prg:947;1st.prg:1043;1st.prg:1084;1st.prg:1165;1st.prg:1284;1st.prg:1362;1st.prg:2174;1st.prg:2257;1st.prg:2353;1st.prg:2394;1st.prg:2475;1st.prg:2594;1st.prg:2867;1st.prg:2950;1st.prg:3046;1st.prg:3087;1st.prg:3168;1st.prg:3287;1st.prg:3560;1st.prg:3643;1st.prg:3739;1st.prg:3780;1st.prg:3861;1st.prg:3980;1st.prg:4253;1st.prg:4336;1st.prg:4432;1st.prg:4473;1st.prg:4554;1st.prg:4673;1st.prg:4946;1st.prg:5029;1st.prg:5125;1st.prg:5166;1st.prg:5247;1st.prg:5366;1st.prg:5639;1st.prg:5722;1st.prg:5818;1st.prg:5859;1st.prg:5940;1st.prg:6059;1st.prg:7132;1st.prg:7139;1st.prg:7145;1st.prg:9255;1st.prg:9256;1st.prg:9257;1st.prg:9258;1st.prg:9259;1st.prg:9260;1st.prg:9261;1st.prg:9262;1st.prg:10031;1st.prg:10037;1st.prg:10043;1st.prg:10059;1st.prg:10063;1st.prg:10067;1st.prg:10071;1st.prg:10075;1st.prg:10079;1st.prg:10083;1st.prg:10087;1st.prg:10188;1st.prg:10192;1st.prg:10196;1st.prg:10200;1st.prg:10204;1st.prg:10208;1st.prg:10212;1st.prg:10216;1st.prg:10239;1st.prg:10243;1st.prg:10247;1st.prg:10251;1st.prg:10255;1st.prg:10259;1st.prg:10263;1st.prg:10267;1st.prg:10291;1st.prg:11055;1st.prg:11063;1st.prg:11090;1st.prg:11099;1st.prg:11123;1st.prg:11128;1st.prg:11133;1st.prg:11138;1st.prg:11143;1st.prg:11148;1st.prg:11153;1st.prg:11158,设定值/目标位置,,高
OutPressure_KP0,global real tag 1010,1st.prg:11498,,压力控制相关,0,中
OutPressure_KP1,global real tag 1210,1st.prg:1762;1st.prg:11580,1st.prg:1434,压力控制相关,1,中
OutPressure_KP2,global real tag 1110,1st.prg:11539,,压力控制相关,2,中
OutPressure_KP3,global real tag 1310,1st.prg:11620,,压力控制相关,3,中
OutPressure_KP4,global real tag 1410,1st.prg:11660,,压力控制相关,4,中
OutPressure_KP5,global real tag 1610,1st.prg:11738,,压力控制相关,5,中
OutPressure_KP6,global real tag 1510,1st.prg:11699,,压力控制相关,6,中
OutPressure_KP7,global real tag 1710,1st.prg:11777,,压力控制相关,7,中
Ozn_StatusWord,global int,1st.prg:7400;1st.prg:7567,1st.prg:7566,通用控制变量,,中
OzoneChamberSP,global real tag 1828,1st.prg:6654;1st.prg:11821,1st.prg:6540,设定值/目标位置,,高
OzonePresureSP,global real tag 1827,1st.prg:6653;1st.prg:11820,1st.prg:6533,设定值/目标位置,,高
PIDTime,local int,1st.prg:1678;1st.prg:1722,1st.prg:1679,局部计算/临时变量,,低
PID_OUTPUT_LIMIT,local real,1st.prg:1399;1st.prg:1713;1st.prg:1714;1st.prg:1716;1st.prg:1717,1st.prg:1438,局部计算/临时变量,,高
PKP0,global real tag 1072,1st.prg:11516,1st.prg:9037,通用控制变量,0,中
PKP1,global real tag 1272,1st.prg:11598,1st.prg:9041,通用控制变量,1,中
PKP2,global real tag 1172,1st.prg:11557,1st.prg:9045,通用控制变量,2,中
PKP3,global real tag 1372,1st.prg:11638,1st.prg:9049,通用控制变量,3,中
PKP4,global real tag 1472,1st.prg:11678,1st.prg:9053,通用控制变量,4,中
PKP5,global real tag 1672,1st.prg:11756,1st.prg:9057,通用控制变量,5,中
PKP6,global real tag 1572,1st.prg:11717,1st.prg:9061,通用控制变量,6,中
PKP7,global real tag 1772,1st.prg:11795,1st.prg:9065,通用控制变量,7,中
POGON_CMD,global int,1st.prg:6128;1st.prg:6381;1st.prg:6383;1st.prg:6615,1st.prg:6659,通用控制变量,,中
POGON_CMD_RB,local int,1st.prg:6107,1st.prg:6569,局部计算/临时变量,,低
POGON_FROM_STATUS1,local int,1st.prg:6113;1st.prg:6580,1st.prg:6266;1st.prg:6268,局部计算/临时变量,1,中
POG_NO_FLT,global int,1st.prg:718;1st.prg:1779;1st.prg:6135;1st.prg:6619,1st.prg:6303;1st.prg:6360,通用控制变量,,中
POG_STATUS1,local int,1st.prg:6111;1st.prg:6265;1st.prg:6271,1st.prg:6261,局部计算/临时变量,1,中
PST(14).#RUN,special bit,1st.prg:9349;1st.prg:9394,,状态标志/运行状态,14,中
Part_number,global int,1st.prg:8826,1st.prg:8920,通用控制变量,,中
PosBeforeExt,local real,1st.prg:8223,,局部计算/临时变量,,低
PosBeforeRot,local real,1st.prg:8223,,局部计算/临时变量,,低
PosCmd,local real,1st.prg:7831;1st.prg:7859;1st.prg:7860;1st.prg:7861;1st.prg:7862;1st.prg:7885;1st.prg:7886;1st.prg:7887;1st.prg:7888;1st.prg:7891;1st.prg:7899;1st.prg:7900;1st.prg:7901;1st.prg:7906;1st.prg:7914;1st.prg:7915;1st.prg:7916;1st.prg:7922;1st.prg:7930;1st.prg:7932;1st.prg:7933;1st.prg:7937;1st.prg:7945;1st.prg:7946;1st.prg:7947,1st.prg:7842;1st.prg:7843;1st.prg:7844;1st.prg:7845;1st.prg:7848;1st.prg:7849;1st.prg:7850;1st.prg:7851;1st.prg:7855;1st.prg:7856;1st.prg:7857;1st.prg:7858;1st.prg:7869;1st.prg:7870;1st.prg:7871;1st.prg:7872;1st.prg:7874;1st.prg:7875;1st.prg:7876;1st.prg:7877;1st.prg:7881;1st.prg:7882;1st.prg:7883;1st.prg:7884;1st.prg:7893;1st.prg:7895;1st.prg:7898;1st.prg:7908;1st.prg:7910;1st.prg:7913;1st.prg:7924;1st.prg:7926;1st.prg:7929;1st.prg:7939;1st.prg:7941;1st.prg:7944,局部计算/临时变量,,低
PosMeasured,local real,1st.prg:8895;1st.prg:9698;1st.prg:9700;1st.prg:9703;1st.prg:9711;1st.prg:9713;1st.prg:9716;1st.prg:9724;1st.prg:9726;1st.prg:9729;1st.prg:9737;1st.prg:9739;1st.prg:9742,1st.prg:9694;1st.prg:9696;1st.prg:9699;1st.prg:9701;1st.prg:9707;1st.prg:9709;1st.prg:9712;1st.prg:9714;1st.prg:9720;1st.prg:9722;1st.prg:9725;1st.prg:9727;1st.prg:9733;1st.prg:9735;1st.prg:9738;1st.prg:9740,测量值/工作设定,,中
PrePosCmd,local real,1st.prg:7833;1st.prg:7891;1st.prg:7906;1st.prg:7922;1st.prg:7937,1st.prg:7859;1st.prg:7860;1st.prg:7861;1st.prg:7862;1st.prg:7901;1st.prg:7916;1st.prg:7933;1st.prg:7947,局部计算/临时变量,,低
PresWorkingSP_v,local real,1st.prg:1391;1st.prg:1567;1st.prg:1582;1st.prg:1618;1st.prg:1762,1st.prg:1491;1st.prg:1574;1st.prg:1581;1st.prg:1611;1st.prg:1617;1st.prg:1649,设定值/目标位置,,高
PresWorkingSP_v_prev,local real,1st.prg:1391;1st.prg:1582;1st.prg:1618,1st.prg:1567,设定值/目标位置,,高
Pres_max0,global real tag 1015,1st.prg:11503,,通用控制变量,0,中
Pres_max1,global real tag 1215,1st.prg:1516;1st.prg:1819;1st.prg:1864;1st.prg:1874;1st.prg:1875;1st.prg:1879;1st.prg:1880;1st.prg:11585,1st.prg:1515;1st.prg:1877,通用控制变量,1,中
Pres_max2,global real tag 1115,1st.prg:11544,,通用控制变量,2,中
Pres_max3,global real tag 1315,1st.prg:11625,,通用控制变量,3,中
Pres_max4,global real tag 1415,1st.prg:11665,,通用控制变量,4,中
Pres_max5,global real tag 1615,1st.prg:11743,,通用控制变量,5,中
Pres_max6,global real tag 1515,1st.prg:11704,,通用控制变量,6,中
Pres_max7,global real tag 1715,1st.prg:11782,,通用控制变量,7,中
Pres_max_Prev,local real,1st.prg:1391;1st.prg:1874;1st.prg:1877,1st.prg:1516;1st.prg:1879,局部计算/临时变量,,低
Pres_min0,global real tag 1014,1st.prg:11502,,通用控制变量,0,中
Pres_min1,global real tag 1214,1st.prg:1508;1st.prg:1819;1st.prg:1863;1st.prg:1864;1st.prg:1868;1st.prg:1869;1st.prg:1875;1st.prg:11584,1st.prg:1507;1st.prg:1865,通用控制变量,1,中
Pres_min2,global real tag 1114,1st.prg:11543,,通用控制变量,2,中
Pres_min3,global real tag 1314,1st.prg:11624,,通用控制变量,3,中
Pres_min4,global real tag 1414,1st.prg:11664,,通用控制变量,4,中
Pres_min5,global real tag 1614,1st.prg:11742,,通用控制变量,5,中
Pres_min6,global real tag 1514,1st.prg:11703,,通用控制变量,6,中
Pres_min7,global real tag 1714,1st.prg:11781,,通用控制变量,7,中
Pres_min_Prev,local real,1st.prg:1391;1st.prg:1863;1st.prg:1865,1st.prg:1508;1st.prg:1868,局部计算/临时变量,,低
PressureChangeThreshold,local real,1st.prg:1402;1st.prg:1547;1st.prg:1553,1st.prg:1415,压力控制相关,,中
PressureControllerPositionCmd,local real,1st.prg:1395;1st.prg:1713;1st.prg:1716;1st.prg:1721,1st.prg:1712;1st.prg:1714;1st.prg:1717,压力控制相关,,中
PressurePV0,global real tag 1019,1st.prg:11507,,压力控制相关,0,中
PressurePV1,global real tag 1219,1st.prg:1478;1st.prg:1480;1st.prg:1490;1st.prg:1566;1st.prg:1600;1st.prg:1636;1st.prg:1666;1st.prg:1736;1st.prg:1753;1st.prg:1772;1st.prg:1779;1st.prg:11589,1st.prg:1754;1st.prg:1773,压力控制相关,1,中
PressurePV2,global real tag 1119,1st.prg:11548,,压力控制相关,2,中
PressurePV3,global real tag 1319,1st.prg:11629,,压力控制相关,3,中
PressurePV4,global real tag 1419,1st.prg:11669,,压力控制相关,4,中
PressurePV5,global real tag 1619,1st.prg:11747,,压力控制相关,5,中
PressurePV6,global real tag 1519,1st.prg:11708,,压力控制相关,6,中
PressurePV7,global real tag 1719,1st.prg:11786,,压力控制相关,7,中
PressurePV_Prev,local real,1st.prg:1392,1st.prg:1753;1st.prg:1772,压力控制相关,,中
PressureSP0,global real tag 1012,1st.prg:11500,,压力控制相关,0,高
PressureSP1,global real tag 1212,1st.prg:1476;1st.prg:1479;1st.prg:1485;1st.prg:1486;1st.prg:1572;1st.prg:1573;1st.prg:1609;1st.prg:1610;1st.prg:1648;1st.prg:1688;1st.prg:1738;1st.prg:1739;1st.prg:1742;1st.prg:1817;1st.prg:1819;1st.prg:1824;1st.prg:1825;1st.prg:1829;1st.prg:11582,1st.prg:1478;1st.prg:1484;1st.prg:1820,压力控制相关,1,高
PressureSP2,global real tag 1112,1st.prg:11541,,压力控制相关,2,高
PressureSP3,global real tag 1312,1st.prg:11622,,压力控制相关,3,高
PressureSP4,global real tag 1412,1st.prg:11662,,压力控制相关,4,高
PressureSP5,global real tag 1612,1st.prg:11740,,压力控制相关,5,高
PressureSP6,global real tag 1512,1st.prg:11701,,压力控制相关,6,高
PressureSP7,global real tag 1712,1st.prg:11779,,压力控制相关,7,高
PressureSP_Prev,local real,1st.prg:1392;1st.prg:1817;1st.prg:1820,1st.prg:1479;1st.prg:1485;1st.prg:1825,压力控制相关,,高
PressureWKSP0,global real tag 1020,1st.prg:11508,,测量值/工作设定,0,高
PressureWKSP1,global real tag 1220,1st.prg:1572;1st.prg:1574;1st.prg:1581;1st.prg:1600;1st.prg:1609;1st.prg:1611;1st.prg:1617;1st.prg:1636;1st.prg:1649;1st.prg:11590,1st.prg:1490;1st.prg:1571;1st.prg:1573;1st.prg:1608;1st.prg:1610;1st.prg:1648;1st.prg:1666;1st.prg:1737,测量值/工作设定,1,高
PressureWKSP2,global real tag 1120,1st.prg:11549,,测量值/工作设定,2,高
PressureWKSP3,global real tag 1320,1st.prg:11630,,测量值/工作设定,3,高
PressureWKSP4,global real tag 1420,1st.prg:11670,,测量值/工作设定,4,高
PressureWKSP5,global real tag 1620,1st.prg:11748,,测量值/工作设定,5,高
PressureWKSP6,global real tag 1520,1st.prg:11709,,测量值/工作设定,6,高
PressureWKSP7,global real tag 1720,1st.prg:11787,,测量值/工作设定,7,高
Pressure_Ramp_rate0,global real tag 1013,1st.prg:11501,,压力控制相关,0,中
Pressure_Ramp_rate1,global real tag 1213,1st.prg:1499;1st.prg:1500;1st.prg:1826;1st.prg:1835;1st.prg:1837;1st.prg:1841;1st.prg:1842;1st.prg:1845;1st.prg:11583,1st.prg:1498;1st.prg:1838,压力控制相关,1,中
Pressure_Ramp_rate2,global real tag 1113,1st.prg:11542,,压力控制相关,2,中
Pressure_Ramp_rate3,global real tag 1313,1st.prg:11623,,压力控制相关,3,中
Pressure_Ramp_rate4,global real tag 1413,1st.prg:11663,,压力控制相关,4,中
Pressure_Ramp_rate5,global real tag 1613,1st.prg:11741,,压力控制相关,5,中
Pressure_Ramp_rate6,global real tag 1513,1st.prg:11702,,压力控制相关,6,中
Pressure_Ramp_rate7,global real tag 1713,1st.prg:11780,,压力控制相关,7,中
Pressure_Ramp_rate_Prev,local real,1st.prg:1392;1st.prg:1835;1st.prg:1838,1st.prg:1499;1st.prg:1842,压力控制相关,,中
